,strctid,gsq_foot,x,y,numprec
238,S0021272,14194.98,-94.51269,37.08937,1.0
239,S0021272,14194.98,-94.51269,37.08937,1.0
240,S0021273,14272.01,-94.51267,37.08898,1.0
241,S0021273,14272.01,-94.51267,37.08898,1.0
242,S0021272,14194.98,-94.51269,37.08937,1.0
243,S0021273,14272.01,-94.51267,37.08898,1.0
244,S0021272,14194.98,-94.51269,37.08937,1.0
245,S0021272,14194.98,-94.51269,37.08937,1.0
246,S0021272,14194.98,-94.51269,37.08937,1.0
247,S0021273,14272.01,-94.51267,37.08898,1.0
248,S0021272,14194.98,-94.51269,37.08937,3.0
249,S0021273,14272.01,-94.51267,37.08898,1.0
250,S0021273,14272.01,-94.51267,37.08898,1.0
251,S0021273,14272.01,-94.51267,37.08898,1.0
252,S0021273,14272.01,-94.51267,37.08898,1.0
253,S0021272,14194.98,-94.51269,37.08937,1.0
254,S0021273,14272.01,-94.51267,37.08898,1.0
255,S0021273,14272.01,-94.51267,37.08898,1.0
256,S0021273,14272.01,-94.51267,37.08898,1.0
257,S0021272,14194.98,-94.51269,37.08937,1.0
258,S0021272,14194.98,-94.51269,37.08937,1.0
259,S0021272,14194.98,-94.51269,37.08937,1.0
260,S0021273,14272.01,-94.51267,37.08898,1.0
261,S0021273,14272.01,-94.51267,37.08898,1.0
262,S0021273,14272.01,-94.51267,37.08898,1.0
263,S0021272,14194.98,-94.51269,37.08937,1.0
264,S0021272,14194.98,-94.51269,37.08937,1.0
265,S0021272,14194.98,-94.51269,37.08937,1.0
266,S0021273,14272.01,-94.51267,37.08898,2.0
267,S0021273,14272.01,-94.51267,37.08898,1.0
268,S0021272,14194.98,-94.51269,37.08937,1.0
269,S0021273,14272.01,-94.51267,37.08898,1.0
270,S0021273,14272.01,-94.51267,37.08898,1.0
271,S0021272,14194.98,-94.51269,37.08937,1.0
272,S0021272,14194.98,-94.51269,37.08937,1.0
273,S0021273,14272.01,-94.51267,37.08898,1.0
274,S0021273,14272.01,-94.51267,37.08898,1.0
275,S0021273,14272.01,-94.51267,37.08898,1.0
276,S0021273,14272.01,-94.51267,37.08898,1.0
277,S0021273,14272.01,-94.51267,37.08898,1.0
278,S0021272,14194.98,-94.51269,37.08937,1.0
279,S0021273,14272.01,-94.51267,37.08898,1.0
280,S0021272,14194.98,-94.51269,37.08937,1.0
281,S0021272,14194.98,-94.51269,37.08937,2.0
282,S0021273,14272.01,-94.51267,37.08898,1.0
283,S0021272,14194.98,-94.51269,37.08937,1.0
284,S0021273,14272.01,-94.51267,37.08898,1.0
285,S0021273,14272.01,-94.51267,37.08898,1.0
286,S0021272,14194.98,-94.51269,37.08937,1.0
287,S0021273,14272.01,-94.51267,37.08898,1.0
288,S0021272,14194.98,-94.51269,37.08937,1.0
289,S0021272,14194.98,-94.51269,37.08937,1.0
290,S0021272,14194.98,-94.51269,37.08937,1.0
291,S0021272,14194.98,-94.51269,37.08937,1.0
292,S0021273,14272.01,-94.51267,37.08898,1.0
293,S0021273,14272.01,-94.51267,37.08898,1.0
294,S0021272,14194.98,-94.51269,37.08937,1.0
295,S0021272,14194.98,-94.51269,37.08937,1.0
296,S0021272,14194.98,-94.51269,37.08937,1.0
297,S0021272,14194.98,-94.51269,37.08937,1.0
298,S0021273,14272.01,-94.51267,37.08898,1.0
299,S0021273,14272.01,-94.51267,37.08898,1.0
300,S0021272,14194.98,-94.51269,37.08937,1.0
301,S0021272,14194.98,-94.51269,37.08937,1.0
302,S0021273,14272.01,-94.51267,37.08898,1.0
303,S0021273,14272.01,-94.51267,37.08898,1.0
304,S0021272,14194.98,-94.51269,37.08937,7.0
305,S0021273,14272.01,-94.51267,37.08898,1.0
306,S0021272,14194.98,-94.51269,37.08937,1.0
307,S0021273,14272.01,-94.51267,37.08898,0.0
308,S0021561,1.356675,-94.51215,37.08713,2.0
309,S0021559,0.7818075,-94.51215,37.08713,2.0
310,S0021560,0.1793919,-94.51216,37.08713,2.0
311,S0021558,0.0313192,-94.51216,37.08713,3.0
312,S0031437,5871.727,-94.51141,37.08721,1.0
313,S0031437,5871.727,-94.51141,37.08721,2.0
314,S0031436,10665.33,-94.51141,37.08741,1.0
315,S0031438,10074.44,-94.51144,37.08702,0.0
316,S0031436,10665.33,-94.51141,37.08741,0.0
317,S0031436,10665.33,-94.51141,37.08741,0.0
318,S0021379,7174.154,-94.51196,37.08678,0.0
319,S0021379,7174.154,-94.51196,37.08678,0.0
320,S0031438,10074.44,-94.51144,37.08702,0.0
321,S0021556,11.6782,-94.51283,37.08558,3.0
322,S0021598,17.63897,-94.51313,37.08646,1.0
323,S0021599,6044.433000000001,-94.51317,37.08624,1.0
324,S0021599,6044.433000000001,-94.51317,37.08624,2.0
325,S0021599,6044.433000000001,-94.51317,37.08624,1.0
326,S0021555,8860.9,-94.51262,37.08566,1.0
327,S0021555,8860.9,-94.51262,37.08566,4.0
328,S0021555,8860.9,-94.51262,37.08566,2.0
329,S0021597,10169.17,-94.51299,37.08657,2.0
330,S0021555,8860.9,-94.51262,37.08566,1.0
331,S0021597,10169.17,-94.51299,37.08657,1.0
332,S0021597,10169.17,-94.51299,37.08657,2.0
333,S0021597,10169.17,-94.51299,37.08657,1.0
334,S0021553,12929.62,-94.51254,37.08651,1.0
335,S0021553,12929.62,-94.51254,37.08651,2.0
336,S0021553,12929.62,-94.51254,37.08651,1.0
337,S0021553,12929.62,-94.51254,37.08651,3.0
338,S0021553,12929.62,-94.51254,37.08651,1.0
339,S0021554,27766.05,-94.51257,37.08614,2.0
340,S0021554,27766.05,-94.51257,37.08614,2.0
341,S0021600,26027.67,-94.51305,37.08591,2.0
342,S0021600,26027.67,-94.51305,37.08591,2.0
343,S0021554,27766.05,-94.51257,37.08614,2.0
344,S0021600,26027.67,-94.51305,37.08591,1.0
345,S0021600,26027.67,-94.51305,37.08591,1.0
346,S0021554,27766.05,-94.51257,37.08614,2.0
347,S0021600,26027.67,-94.51305,37.08591,0.0
348,S0021554,27766.05,-94.51257,37.08614,0.0
349,S0021554,27766.05,-94.51257,37.08614,0.0
350,S0021554,27766.05,-94.51257,37.08614,0.0
351,S0021549,6424.488,-94.51052,37.0853,2.0
352,S0021602,7431.246,-94.51308,37.08502,2.0
353,S0021602,7431.246,-94.51308,37.08502,1.0
354,S0021602,7431.246,-94.51308,37.08502,1.0
355,S0021602,7431.246,-94.51308,37.08502,1.0
356,S0021602,7431.246,-94.51308,37.08502,1.0
357,S0021602,7431.246,-94.51308,37.08502,1.0
358,S0021602,7431.246,-94.51308,37.08502,1.0
359,S0021602,7431.246,-94.51308,37.08502,2.0
360,S0021602,7431.246,-94.51308,37.08502,1.0
361,S0021602,7431.246,-94.51308,37.08502,1.0
362,S0021602,7431.246,-94.51308,37.08502,1.0
363,S0021602,7431.246,-94.51308,37.08502,1.0
364,S0021602,7431.246,-94.51308,37.08502,1.0
365,S0021602,7431.246,-94.51308,37.08502,1.0
366,S0021602,7431.246,-94.51308,37.08502,1.0
367,S0021602,7431.246,-94.51308,37.08502,1.0
368,S0021602,7431.246,-94.51308,37.08502,2.0
369,S0021602,7431.246,-94.51308,37.08502,1.0
370,S0021602,7431.246,-94.51308,37.08502,1.0
371,S0021602,7431.246,-94.51308,37.08502,1.0
372,S0021602,7431.246,-94.51308,37.08502,1.0
373,S0021602,7431.246,-94.51308,37.08502,1.0
374,S0021601,13213.03,-94.51313,37.08527,1.0
375,S0021601,13213.03,-94.51313,37.08527,1.0
376,S0021601,13213.03,-94.51313,37.08527,1.0
377,S0021601,13213.03,-94.51313,37.08527,1.0
378,S0021601,13213.03,-94.51313,37.08527,1.0
379,S0021601,13213.03,-94.51313,37.08527,1.0
380,S0021601,13213.03,-94.51313,37.08527,1.0
381,S0021601,13213.03,-94.51313,37.08527,1.0
382,S0021601,13213.03,-94.51313,37.08527,1.0
383,S0021601,13213.03,-94.51313,37.08527,2.0
384,S0021601,13213.03,-94.51313,37.08527,1.0
385,S0021601,13213.03,-94.51313,37.08527,1.0
386,S0021601,13213.03,-94.51313,37.08527,1.0
387,S0021601,13213.03,-94.51313,37.08527,1.0
388,S0021601,13213.03,-94.51313,37.08527,1.0
389,S0021601,13213.03,-94.51313,37.08527,1.0
390,S0021601,13213.03,-94.51313,37.08527,1.0
391,S0021601,13213.03,-94.51313,37.08527,1.0
392,S0021601,13213.03,-94.51313,37.08527,1.0
393,S0021601,13213.03,-94.51313,37.08527,1.0
394,S0021601,13213.03,-94.51313,37.08527,1.0
395,S0021601,13213.03,-94.51313,37.08527,2.0
396,S0021601,13213.03,-94.51313,37.08527,1.0
397,S0021601,13213.03,-94.51313,37.08527,1.0
398,S0021601,13213.03,-94.51313,37.08527,1.0
399,S0021601,13213.03,-94.51313,37.08527,1.0
400,S0021601,13213.03,-94.51313,37.08527,1.0
401,S0021601,13213.03,-94.51313,37.08527,1.0
402,S0021601,13213.03,-94.51313,37.08527,1.0
403,S0021601,13213.03,-94.51313,37.08527,1.0
404,S0021601,13213.03,-94.51313,37.08527,1.0
405,S0021601,13213.03,-94.51313,37.08527,1.0
406,S0021601,13213.03,-94.51313,37.08527,1.0
407,S0021601,13213.03,-94.51313,37.08527,1.0
408,S0021601,13213.03,-94.51313,37.08527,0.0
