,FIPS,INTPTLONG,INTPTLAT,RPL_THEMES
105,40119011000,-97.1918053,36.0885965,0.0996
106,40027202403,-97.3242495,35.245375,0.1006
107,40043959200,-99.2448666,36.0799284,0.1015
108,40109108302,-97.4868149,35.5900512,0.1025
109,40109108221,-97.5416776,35.6858236,0.1034
110,40031002301,-98.5364372,34.5146672,0.1044
111,40143004400,-95.9820847,36.111938,0.1054
112,40109108217,-97.5047192,35.6457247,0.1063
113,40143005300,-95.9135099,36.126128,0.1063
114,40087400101,-97.6090434,35.2652843,0.1082
115,40143007519,-95.8242467,36.0391594,0.1092
116,40143007407,-95.7790732,36.0679825,0.1102
117,40109106403,-97.5541025,35.5583104,0.1111
118,40143007616,-95.8928088,36.0681258,0.1121
119,40045952800,-99.6890488,36.0493926,0.113
120,40143007413,-95.8242309,36.0536557,0.114
121,40131050303,-95.5221383,36.3723302,0.1149
122,40109108219,-97.542305,35.6603085,0.1159
123,40027202002,-97.5007231,35.369159,0.1169
124,40143005200,-95.9312323,36.0970764,0.1178
125,40051000800,-97.8704339,35.1362671,0.1188
126,40143005401,-95.8992195,36.3719906,0.1197
127,40143007802,-95.8840189,35.8932126,0.1207
128,40027201607,-97.5408433,35.323323,0.1216
129,40017300600,-97.960249,35.5147289,0.1226
130,40031002003,-98.2397253,34.5743266,0.1236
131,40109109001,-97.1918974,35.5966072,0.1245
132,40143007513,-95.8369198,35.9935518,0.1255
133,40027201505,-97.4995355,35.2405038,0.1264
134,40143005808,-95.8927683,36.28295,0.1274
135,40109108504,-97.6127985,35.5919956,0.1284
136,40053956400,-97.9340725,36.6869777,0.1293
137,40017301406,-97.6933591,35.3890165,0.1303
138,40027202201,-97.451929,35.309996,0.1312
139,40109100900,-97.5680659,35.495017,0.1322
140,40145030601,-95.7047277,35.9188259,0.1331
141,40143007516,-95.8429374,35.9614973,0.1341
142,40119010900,-97.111058,36.1035158,0.1351
143,40027201403,-97.3974635,35.2667804,0.136
144,40011958800,-98.6313408,35.9080374,0.137
145,40007951700,-100.4440844,36.6637874,0.1379
146,40143009500,-96.2368618,36.1206597,0.1389
147,40143007511,-95.7795274,36.0101872,0.1398
148,40143006707,-96.0026215,36.0050575,0.1408
149,40037021201,-96.1295765,36.064848,0.1418
150,40147000700,-95.9482869,36.724026,0.1427
151,40143007612,-95.9490831,36.0536842,0.1437
152,40131050604,-95.4972418,36.3009729,0.1446
153,40109105100,-97.5117786,35.5219928,0.1456
154,40145030505,-95.7037786,36.0716369,0.1466
155,40109108523,-97.6631405,35.5797437,0.1475
156,40093955200,-98.6896926,36.30368,0.1485
157,40047001402,-97.9303593,36.398073,0.1494
158,40109108315,-97.5496464,35.6162868,0.1504
159,40109106608,-97.5821232,35.5421848,0.1513
160,40103956900,-97.294474,36.3052938,0.1523
