Budget :,0.0,Tornado Length:,25.0
Best Bound:,15974
Best Objective:,15974
Gap:,0.0
CCG Run time:,1570.33
CCG Iteration:,2
Subproblem Run time:,1570.01
Number of Subproblem Callbacks:,48
Subproblem Callbacks Run Time:,8.06
Number of Uncertainty Set Check Call:,0
Uncertainty Set Check Run Time:,0
Head of worst tornado:,-94.575,37.057
Tail of worst tornado:,-94.426,37.094

Block ID,coordinate_x,coordinate_y,Population,Retrofitting,Retrofitting Cost,Damaged?,Recover,Recovery Cost,Dislocation
112,-94.493,37.103,311,Do_nothing,0,NO,0,0,0,
46,-94.493,37.129,456,Do_nothing,0,NO,0,0,0,
15,-94.493,37.018,173,Do_nothing,0,NO,0,0,0,
24,-94.493,37.067,659,Do_nothing,0,NO,0,0,0,
17,-94.492,37.108,485,Do_nothing,0,NO,0,0,0,
175,-94.492,37.09,282,Do_nothing,0,NO,0,0,0,
101,-94.491,37.023,157,Do_nothing,0,NO,0,0,0,
127,-94.49,37.05,250,Do_nothing,0,NO,0,0,0,
105,-94.49,37.06,853,Do_nothing,0,NO,0,0,0,
115,-94.49,37.082,449,Do_nothing,0,YES,0.0,0,445,
89,-94.489,37.086,234,Do_nothing,0,NO,0,0,0,
77,-94.488,37.055,65,Do_nothing,0,NO,0,0,0,
25,-94.488,37.091,377,Do_nothing,0,NO,0,0,0,
70,-94.488,37.068,541,Do_nothing,0,NO,0,0,0,
182,-94.487,37.089,216,Do_nothing,0,NO,0,0,0,
1,-94.487,37.079,360,Do_nothing,0,YES,0.0,0,357,
48,-94.486,37.031,111,Do_nothing,0,NO,0,0,0,
192,-94.486,37.075,126,Do_nothing,0,YES,0.0,0,125,
40,-94.486,37.103,247,Do_nothing,0,NO,0,0,0,
67,-94.486,37.108,416,Do_nothing,0,NO,0,0,0,
187,-94.485,37.125,87,Do_nothing,0,NO,0,0,0,
139,-94.485,37.112,366,Do_nothing,0,NO,0,0,0,
107,-94.484,37.025,181,Do_nothing,0,NO,0,0,0,
188,-94.484,37.064,268,Do_nothing,0,NO,0,0,0,
85,-94.483,37.077,288,Do_nothing,0,YES,0.0,0,285,
116,-94.483,37.038,199,Do_nothing,0,NO,0,0,0,
181,-94.483,37.051,196,Do_nothing,0,NO,0,0,0,
84,-94.483,37.085,203,Do_nothing,0,YES,0.0,0,201,
37,-94.482,37.115,491,Do_nothing,0,NO,0,0,0,
34,-94.482,37.07,385,Do_nothing,0,NO,0,0,0,
174,-94.482,37.089,141,Do_nothing,0,NO,0,0,0,
99,-94.481,37.066,325,Do_nothing,0,NO,0,0,0,
43,-94.481,37.018,15,Do_nothing,0,NO,0,0,0,
133,-94.48,37.073,237,Do_nothing,0,NO,0,0,0,
179,-94.479,37.081,121,Do_nothing,0,YES,0.0,0,120,
51,-94.479,37.125,43,Do_nothing,0,NO,0,0,0,
11,-94.477,37.111,341,Do_nothing,0,NO,0,0,0,
103,-94.474,37.082,448,Do_nothing,0,YES,0.0,0,444,
4,-94.474,37.043,76,Do_nothing,0,NO,0,0,0,
